         77740 function calls (75472 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/construction.py:596(_homogenize)
       38    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:308(apply)
      738    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/base.py:71(<genexpr>)
       36    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:363(setitem)
     2539    0.001    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/__init__.py:33(using_copy_on_write)
      298    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:274(__init__)
      247    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:821(__len__)
     1194    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1960(internal_values)
      279    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1372(_set_as_cached)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:16(load_sudoku)
      886    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:91(ensure_python_int)
      558    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:973(__getitem__)
     1322    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/common.py:367(apply_if_callable)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2483(ensure_block_shape)
      279    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:3930(_maybe_update_cacher)
     1218    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/numeric.py:415(count_nonzero)
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1825(from_array)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1023(set_inplace)
     1128    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:963(__len__)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:987(wrap_results)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:5478(isna)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:8402(isna)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     3472    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:1034(wrap_results_for_axis)
        3    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
      247    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/base.py:61(__len__)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:4520(_is_view)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:101(isna)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:184(_isna)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:96(_showwarnmsg)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:20(_showwarnmsg_impl)
     1284    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       40    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1483(construct_1d_arraylike_from_scalar)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:117(_formatwarnmsg)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/base.py:301(array)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:35(_formatwarnmsg_impl)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:1127(setitem)
       13    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:477(__new__)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/linecache.py:26(getline)
       46    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:7512(ensure_index)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/linecache.py:36(getlines)
      700    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:445(is_view)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/numeric.py:2378(array_equal)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/linecache.py:80(updatecache)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:2068(create_block_manager_from_column_arrays)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:1542(__len__)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      195    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:6301(_is_mixed_type)
     1463    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       10    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:1024(<genexpr>)
      531    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1255(is_1d_only_ea_dtype)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/tokenize.py:392(open)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:2137(_form_blocks)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexing.py:2431(__getitem__)
      765    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:169(blknos)
      251    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:282(arrays)
        9    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2388(new_block)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/ops/common.py:62(new_method)
      279    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:4337(_check_setitem_copy)
       47    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_np_dtype}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/arraylike.py:54(__gt__)
        6    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solver_tools.py:79(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:7628(_cmp_method)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/tokenize.py:299(detect_encoding)
     1288    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1764(_ravel_dispatcher)
     1218    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/tokenize.py:323(read_or_stop)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
