         77740 function calls (75472 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:1045(<genexpr>)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solve_sudoku.py:65(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:72(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:1026(result_index)
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:693(index)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:538(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/computation/expressions.py:76(_can_use_numexpr)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/numeric.py:2374(_array_equal_dispatcher)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:637(_constructor)
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:452(_should_fallback_to_positional)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/multiarray.py:346(where)
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
